config,step,train_loss,val_loss,train_acc,val_acc
MHA_h4_l2_lr0.001,1,4.261241912841797,4.270066261291504,0.02187499962747097,0.01998697966337204
MHA_h4_l2_lr0.001,20,2.926621913909912,2.9610676765441895,0.23297525942325592,0.23011067509651184
MHA_h4_l2_lr0.001,40,2.685786724090576,2.676142930984497,0.25442707538604736,0.25263673067092896
MHA_h4_l2_lr0.001,60,2.592641592025757,2.602672815322876,0.2598632872104645,0.2634440064430237
MHA_h4_l2_lr0.001,80,2.538463592529297,2.560411214828491,0.26494139432907104,0.26429036259651184
MHA_h4_l2_lr0.001,100,2.517066478729248,2.5194807052612305,0.2702799439430237,0.2715494930744171
MHA_h4_l2_lr0.0003,1,4.306820392608643,4.308579444885254,0.01608072966337204,0.01669921912252903
MHA_h4_l2_lr0.0003,20,3.6582605838775635,3.6650686264038086,0.15260416269302368,0.15514323115348816
MHA_h4_l2_lr0.0003,40,3.108687400817871,3.1402363777160645,0.20924478769302368,0.21341146528720856
MHA_h4_l2_lr0.0003,60,2.887578248977661,2.9369399547576904,0.24290364980697632,0.23984375596046448
MHA_h4_l2_lr0.0003,80,2.7784581184387207,2.8029351234436035,0.24759115278720856,0.2421875
MHA_h4_l2_lr0.0003,100,2.705540657043457,2.72975754737854,0.2594400942325592,0.24980469048023224
MHA_h4_l4_lr0.001,1,4.146694183349609,4.143476486206055,0.03893228992819786,0.0393880195915699
MHA_h4_l4_lr0.001,20,2.870089292526245,2.8974266052246094,0.24749349057674408,0.24583333730697632
MHA_h4_l4_lr0.001,40,2.6521902084350586,2.6273982524871826,0.2540690004825592,0.2596679627895355
MHA_h4_l4_lr0.001,60,2.54797101020813,2.5630335807800293,0.2693684995174408,0.2653645873069763
MHA_h4_l4_lr0.001,80,2.5314249992370605,2.526869058609009,0.26640623807907104,0.26722005009651184
MHA_h4_l4_lr0.001,100,2.5072834491729736,2.5142087936401367,0.2721354067325592,0.2650716006755829
MHA_h4_l4_lr0.0003,1,4.336852550506592,4.350259780883789,0.011393229477107525,0.01035156287252903
MHA_h4_l4_lr0.0003,20,3.354079246520996,3.390418529510498,0.16888020932674408,0.16728515923023224
MHA_h4_l4_lr0.0003,40,3.0294244289398193,3.050611734390259,0.22031250596046448,0.21627603471279144
MHA_h4_l4_lr0.0003,60,2.818021297454834,2.8345887660980225,0.24628905951976776,0.2451171875
MHA_h4_l4_lr0.0003,80,2.7107019424438477,2.7185299396514893,0.26012369990348816,0.2568359375
MHA_h4_l4_lr0.0003,100,2.634594202041626,2.657956600189209,0.2627929747104645,0.25761717557907104
MHA_h8_l2_lr0.001,1,4.196511745452881,4.1931891441345215,0.02128906175494194,0.02233072929084301
MHA_h8_l2_lr0.001,20,2.9377074241638184,2.976872205734253,0.23623046278953552,0.23261718451976776
MHA_h8_l2_lr0.001,40,2.6763265132904053,2.691927671432495,0.2557617127895355,0.25322264432907104
MHA_h8_l2_lr0.001,60,2.5926311016082764,2.586846113204956,0.26171875,0.26477864384651184
MHA_h8_l2_lr0.001,80,2.530442476272583,2.538433074951172,0.26949870586395264,0.26695963740348816
MHA_h8_l2_lr0.001,100,2.5319342613220215,2.5219192504882812,0.26770833134651184,0.26806640625
MHA_h8_l2_lr0.0003,1,4.316525459289551,4.323199272155762,0.015104166232049465,0.01513671875
MHA_h8_l2_lr0.0003,20,3.6311357021331787,3.6484310626983643,0.16552734375,0.16350911557674408
MHA_h8_l2_lr0.0003,40,3.131364345550537,3.1551220417022705,0.20472005009651184,0.20384114980697632
MHA_h8_l2_lr0.0003,60,2.928601026535034,2.9356913566589355,0.2273762971162796,0.23138020932674408
MHA_h8_l2_lr0.0003,80,2.7874982357025146,2.819840908050537,0.2434895783662796,0.24508462846279144
MHA_h8_l2_lr0.0003,100,2.7069005966186523,2.7319023609161377,0.25159505009651184,0.24645182490348816
MHA_h8_l4_lr0.001,1,4.227802753448486,4.231381416320801,0.02054036408662796,0.01848958246409893
MHA_h8_l4_lr0.001,20,2.892075777053833,2.926114082336426,0.23636068403720856,0.23655599355697632
MHA_h8_l4_lr0.001,40,2.64762806892395,2.6404881477355957,0.26119792461395264,0.2594400942325592
MHA_h8_l4_lr0.001,60,2.560431957244873,2.5648226737976074,0.26337891817092896,0.26738280057907104
MHA_h8_l4_lr0.001,80,2.526806592941284,2.5256597995758057,0.26500651240348816,0.26712238788604736
MHA_h8_l4_lr0.001,100,2.5083274841308594,2.5149855613708496,0.27314454317092896,0.2712239623069763
MHA_h8_l4_lr0.0003,1,4.289924621582031,4.2915496826171875,0.01777343824505806,0.01663411408662796
MHA_h8_l4_lr0.0003,20,3.3316800594329834,3.361804246902466,0.1741536408662796,0.1686197966337204
MHA_h8_l4_lr0.0003,40,3.018716335296631,3.0507445335388184,0.22926431894302368,0.23186849057674408
MHA_h8_l4_lr0.0003,60,2.8392419815063477,2.859546184539795,0.24570313096046448,0.24736328423023224
MHA_h8_l4_lr0.0003,80,2.737035036087036,2.752169609069824,0.2527018189430237,0.25670573115348816
MHA_h8_l4_lr0.0003,100,2.648711681365967,2.663783311843872,0.2663736939430237,0.2609049379825592
GQA_h4_kv2_l2_lr0.001,1,4.2311625480651855,4.227937698364258,0.02281901054084301,0.02333984337747097
GQA_h4_kv2_l2_lr0.001,20,2.9494504928588867,2.971611261367798,0.23092447221279144,0.23167318105697632
GQA_h4_kv2_l2_lr0.001,40,2.6989054679870605,2.7017767429351807,0.25491535663604736,0.25345051288604736
GQA_h4_kv2_l2_lr0.001,60,2.5917673110961914,2.6110358238220215,0.26028645038604736,0.25729167461395264
GQA_h4_kv2_l2_lr0.001,80,2.554810047149658,2.544127941131592,0.2663736939430237,0.26510417461395264
GQA_h4_kv2_l2_lr0.001,100,2.5295422077178955,2.539605140686035,0.2629557251930237,0.26171875
GQA_h4_kv4_l2_lr0.001,1,4.24705696105957,4.252724647521973,0.02535807341337204,0.02470703050494194
GQA_h4_kv4_l2_lr0.001,20,2.941952705383301,2.9841079711914062,0.2379557341337204,0.2351887971162796
GQA_h4_kv4_l2_lr0.001,40,2.6614484786987305,2.6644673347473145,0.2547200620174408,0.2530273497104645
GQA_h4_kv4_l2_lr0.001,60,2.5672616958618164,2.570697784423828,0.2699544131755829,0.2691080868244171
GQA_h4_kv4_l2_lr0.001,80,2.5442421436309814,2.537562608718872,0.2599283754825592,0.2647135555744171
GQA_h4_kv4_l2_lr0.001,100,2.506687879562378,2.525846242904663,0.2681315243244171,0.26663410663604736
GQA_h4_kv2_l2_lr0.0003,1,4.323588848114014,4.320484638214111,0.01279296912252903,0.01344401016831398
GQA_h4_kv2_l2_lr0.0003,20,3.584007740020752,3.6172068119049072,0.14931640028953552,0.14231771230697632
GQA_h4_kv2_l2_lr0.0003,40,3.114966869354248,3.148860216140747,0.20338541269302368,0.20009765028953552
GQA_h4_kv2_l2_lr0.0003,60,2.9138102531433105,2.923264265060425,0.23824869096279144,0.24261067807674408
GQA_h4_kv2_l2_lr0.0003,80,2.7825958728790283,2.781846284866333,0.24619141221046448,0.2525390684604645
GQA_h4_kv2_l2_lr0.0003,100,2.7270283699035645,2.7186572551727295,0.25052082538604736,0.2528645694255829
GQA_h4_kv4_l2_lr0.0003,1,4.271886348724365,4.2724809646606445,0.02272135391831398,0.021484375
GQA_h4_kv4_l2_lr0.0003,20,3.569444179534912,3.579192638397217,0.16455078125,0.16494140028953552
GQA_h4_kv4_l2_lr0.0003,40,3.1152212619781494,3.1412644386291504,0.21725259721279144,0.21640625596046448
GQA_h4_kv4_l2_lr0.0003,60,2.9007632732391357,2.9317922592163086,0.24560546875,0.24371744692325592
GQA_h4_kv4_l2_lr0.0003,80,2.7741596698760986,2.804986000061035,0.24928385019302368,0.2467447966337204
GQA_h4_kv4_l2_lr0.0003,100,2.7064061164855957,2.718424081802368,0.2548828125,0.25501301884651184
GQA_h4_kv2_l4_lr0.001,1,4.146309852600098,4.150221824645996,0.03554687649011612,0.03430989757180214
GQA_h4_kv2_l4_lr0.001,20,2.840717077255249,2.861023187637329,0.24733072519302368,0.24960938096046448
GQA_h4_kv2_l4_lr0.001,40,2.6240739822387695,2.6437811851501465,0.2597005069255829,0.25826823711395264
GQA_h4_kv2_l4_lr0.001,60,2.5448102951049805,2.571828603744507,0.27444660663604736,0.26484376192092896
GQA_h4_kv2_l4_lr0.001,80,2.535536289215088,2.5468873977661133,0.2662760317325592,0.26608073711395264
GQA_h4_kv2_l4_lr0.001,100,2.5065085887908936,2.512211561203003,0.2792317569255829,0.271484375
GQA_h4_kv4_l4_lr0.001,1,4.12706995010376,4.12467622756958,0.04095052182674408,0.04257812350988388
GQA_h4_kv4_l4_lr0.001,20,2.886765718460083,2.9120497703552246,0.2428385466337204,0.23916015028953552
GQA_h4_kv4_l4_lr0.001,40,2.6326329708099365,2.6462326049804688,0.25582683086395264,0.2539713680744171
GQA_h4_kv4_l4_lr0.001,60,2.5676076412200928,2.5849573612213135,0.2638997435569763,0.2640624940395355
GQA_h4_kv4_l4_lr0.001,80,2.5418455600738525,2.552452325820923,0.26191407442092896,0.2684895694255829
GQA_h4_kv4_l4_lr0.001,100,2.508995294570923,2.509228229522705,0.26614582538604736,0.2704426944255829
GQA_h4_kv2_l4_lr0.0003,1,4.256448745727539,4.254208087921143,0.01868489570915699,0.01962890662252903
GQA_h4_kv2_l4_lr0.0003,20,3.3221802711486816,3.3317160606384277,0.18092447519302368,0.18027344346046448
GQA_h4_kv2_l4_lr0.0003,40,3.0242342948913574,3.018956422805786,0.22109374403953552,0.22343750298023224
GQA_h4_kv2_l4_lr0.0003,60,2.8207859992980957,2.8321192264556885,0.248046875,0.24749349057674408
GQA_h4_kv2_l4_lr0.0003,80,2.7173051834106445,2.740161657333374,0.2510742247104645,0.2517252564430237
GQA_h4_kv2_l4_lr0.0003,100,2.6534690856933594,2.6603901386260986,0.2577473819255829,0.2619466185569763
GQA_h4_kv4_l4_lr0.0003,1,4.291473865509033,4.293302536010742,0.02643229253590107,0.02721354179084301
GQA_h4_kv4_l4_lr0.0003,20,3.344355583190918,3.380380153656006,0.18971353769302368,0.18271484971046448
GQA_h4_kv4_l4_lr0.0003,40,3.042426347732544,3.0794007778167725,0.21461588144302368,0.2161458283662796
GQA_h4_kv4_l4_lr0.0003,60,2.8462905883789062,2.858323097229004,0.2469075471162796,0.24736328423023224
GQA_h4_kv4_l4_lr0.0003,80,2.725313425064087,2.753758430480957,0.24964192509651184,0.24905599653720856
GQA_h4_kv4_l4_lr0.0003,100,2.664344310760498,2.6399903297424316,0.2556966245174408,0.2632812559604645
GQA_h8_kv2_l2_lr0.001,1,4.266858100891113,4.261289596557617,0.01806640625,0.02024739608168602
GQA_h8_kv2_l2_lr0.001,20,2.970625877380371,2.99253511428833,0.22776693105697632,0.22682291269302368
GQA_h8_kv2_l2_lr0.001,40,2.680253505706787,2.6971664428710938,0.24798177182674408,0.2520507872104645
GQA_h8_kv2_l2_lr0.001,60,2.5923285484313965,2.5941340923309326,0.2619791626930237,0.26988932490348816
GQA_h8_kv2_l2_lr0.001,80,2.550429344177246,2.543395757675171,0.2652994692325592,0.2645833194255829
GQA_h8_kv2_l2_lr0.001,100,2.523772954940796,2.5289642810821533,0.2657877504825592,0.2639322876930237
GQA_h8_kv4_l2_lr0.001,1,4.176096439361572,4.168751239776611,0.02578124962747097,0.02711588516831398
GQA_h8_kv4_l2_lr0.001,20,2.9212355613708496,2.9384944438934326,0.23906250298023224,0.2353515625
GQA_h8_kv4_l2_lr0.001,40,2.6801340579986572,2.6730966567993164,0.25305989384651184,0.25322264432907104
GQA_h8_kv4_l2_lr0.001,60,2.5779802799224854,2.583277463912964,0.2658854126930237,0.2666992247104645
GQA_h8_kv4_l2_lr0.001,80,2.54353928565979,2.536008358001709,0.26494139432907104,0.2718749940395355
GQA_h8_kv4_l2_lr0.001,100,2.5128183364868164,2.5139670372009277,0.27324217557907104,0.2754882872104645
GQA_h8_kv2_l2_lr0.0003,1,4.332060813903809,4.3346734046936035,0.01246744766831398,0.012369791977107525
GQA_h8_kv2_l2_lr0.0003,20,3.666271448135376,3.6823534965515137,0.16396483778953552,0.16152343153953552
GQA_h8_kv2_l2_lr0.0003,40,3.0965967178344727,3.1398420333862305,0.20201823115348816,0.19733072817325592
GQA_h8_kv2_l2_lr0.0003,60,2.9158127307891846,2.9258880615234375,0.23850911855697632,0.23987630009651184
GQA_h8_kv2_l2_lr0.0003,80,2.7907447814941406,2.826420545578003,0.24166665971279144,0.2392578125
GQA_h8_kv2_l2_lr0.0003,100,2.70953369140625,2.7357547283172607,0.25257161259651184,0.2478841096162796
GQA_h8_kv4_l2_lr0.0003,1,4.281187057495117,4.292745113372803,0.012760416604578495,0.013964843936264515
GQA_h8_kv4_l2_lr0.0003,20,3.592707633972168,3.6138319969177246,0.16435547173023224,0.16367188096046448
GQA_h8_kv4_l2_lr0.0003,40,3.1231534481048584,3.1561226844787598,0.20472005009651184,0.20185546576976776
GQA_h8_kv4_l2_lr0.0003,60,2.8986430168151855,2.9208033084869385,0.23583984375,0.23512369394302368
GQA_h8_kv4_l2_lr0.0003,80,2.7765955924987793,2.797976493835449,0.24596354365348816,0.2423502653837204
GQA_h8_kv4_l2_lr0.0003,100,2.7134251594543457,2.7224855422973633,0.24928385019302368,0.2517252564430237
GQA_h8_kv2_l4_lr0.001,1,4.1400146484375,4.151734828948975,0.03606770932674408,0.03323567658662796
GQA_h8_kv2_l4_lr0.001,20,2.8863589763641357,2.9232356548309326,0.24342447519302368,0.2425130158662796
GQA_h8_kv2_l4_lr0.001,40,2.647780418395996,2.66320538520813,0.2575846314430237,0.25240886211395264
GQA_h8_kv2_l4_lr0.001,60,2.569167137145996,2.5748064517974854,0.2628580629825592,0.26152342557907104
GQA_h8_kv2_l4_lr0.001,80,2.5416181087493896,2.534458875656128,0.2658854126930237,0.2676432430744171
GQA_h8_kv2_l4_lr0.001,100,2.5157179832458496,2.521268367767334,0.27294921875,0.2712239623069763
GQA_h8_kv4_l4_lr0.001,1,4.155753135681152,4.1660475730896,0.0362955741584301,0.03437500074505806
GQA_h8_kv4_l4_lr0.001,20,2.888216972351074,2.8843414783477783,0.24567057192325592,0.24827474355697632
GQA_h8_kv4_l4_lr0.001,40,2.643317937850952,2.664663553237915,0.2616536319255829,0.2582031190395355
GQA_h8_kv4_l4_lr0.001,60,2.573544979095459,2.5684707164764404,0.2600911557674408,0.2653971314430237
GQA_h8_kv4_l4_lr0.001,80,2.5323498249053955,2.5414397716522217,0.2681640684604645,0.2669270932674408
GQA_h8_kv4_l4_lr0.001,100,2.5062255859375,2.5358433723449707,0.27197265625,0.26451823115348816
GQA_h8_kv2_l4_lr0.0003,1,4.301344394683838,4.303046703338623,0.01731770858168602,0.01793619804084301
GQA_h8_kv2_l4_lr0.0003,20,3.363417387008667,3.3986799716949463,0.19150391221046448,0.18541666865348816
GQA_h8_kv2_l4_lr0.0003,40,2.9859397411346436,3.0205271244049072,0.23561197519302368,0.23668619990348816
GQA_h8_kv2_l4_lr0.0003,60,2.8051350116729736,2.8338394165039062,0.24169921875,0.23707681894302368
GQA_h8_kv2_l4_lr0.0003,80,2.6960649490356445,2.719273567199707,0.25328776240348816,0.25013020634651184
GQA_h8_kv2_l4_lr0.0003,100,2.6321938037872314,2.6470744609832764,0.2632487118244171,0.2593424618244171
GQA_h8_kv4_l4_lr0.0003,1,4.267406940460205,4.269104957580566,0.02197265625,0.021484375
GQA_h8_kv4_l4_lr0.0003,20,3.3355112075805664,3.3742148876190186,0.1795247346162796,0.17054036259651184
GQA_h8_kv4_l4_lr0.0003,40,3.0402867794036865,3.0431571006774902,0.22373047471046448,0.22382812201976776
GQA_h8_kv4_l4_lr0.0003,60,2.831879138946533,2.837353467941284,0.24609375,0.2431640625
GQA_h8_kv4_l4_lr0.0003,80,2.7270824909210205,2.733820676803589,0.24905599653720856,0.2511393129825592
GQA_h8_kv4_l4_lr0.0003,100,2.6335670948028564,2.6546730995178223,0.26673176884651184,0.2657226622104645
